repo,baseline,rv,rv(x),races,hb,hb:pp,hb(x),races,hbepoch,hbepoch:pp,hbepoch(x),races,shb,shb:pp,shb(x),races,shbepoch,shbepoch:pp,shbepoch(x),races,fhb,fhb:pp,fhb(x),races,lockset,lockset:pp,lockset(x),races,goldilocks,goldilocks:pp,goldilocks(x),races,wcp,wcp:pp,wcp(x),races,syncp,syncp:pp,syncp(x),races
arquillian/arquillian-container-openshift,9.5,9.5,1,0,146.8,11.4,16.7,0,149.1,11.3,17,0,153.7,11.3,17.4,0,153.3,11.3,17.4,0,149.3,11.3,17,0,147.2,11.4,16.8,12,288.6,11.4,31.7,3,FAIL,,,,TO,,9094.7,0
matthewhorridge/binaryowl,3.5,18.5,5.2,4,319.3,26.2,97.9,16,320.8,23.2,97.4,16,315.3,22,95.6,10,321.2,22.5,97.4,10,304.6,22,92.5,10,311.6,22.9,94.7,15,580,22.5,170.7,15,FAIL,,,0,FAIL,,,
probedock/probedock-demo-junit,1.6,6.4,3.9,1,41.1,3.2,27.2,1,43.6,3.2,28.7,1,41.4,3.2,27.3,1,41.9,3.1,27.6,1,42.2,3.1,27.7,1,40.6,3.2,26.9,68,50.8,3.2,33.1,3,FAIL,,,0,FAIL,,,
alexvictoor/netty-livereload,3.8,9.6,2.5,2,9.6,0.3,2.6,2,9.4,0.3,2.5,2,9.3,0.3,2.5,2,12.1,0.3,3.3,2,9.5,0.2,2.6,2,9.2,0.2,2.5,5,9.1,0.2,2.5,2,9.9,0.2,2.7,2,FAIL,,,
chyxion/table-to-xls,8.7,26,3,0,1210.1,64,145.9,15,1219,63.2,146.9,15,1258.4,63.1,151.4,4,1256,62.8,151.1,4,1385.6,62.7,165.9,3,1244.6,63.6,149.8,15,7186.6,62.9,830.4,15,FAIL,,,,TO,,9931.0,0
spotify/async-datastore-client,3.4,7,2.1,1,49.6,0.4,14.7,1,48.8,0.3,14.4,1,47.5,0.3,14.1,1,48,0.4,14.2,1,52.6,0.3,15.5,1,46.8,0.3,13.9,3,49.8,0.3,14.7,2,FAIL,,,,TO,,25411.8,0
99soft/guartz,28.5,40.5,1.4,2,151.5,7,5.6,48,147.5,7,5.4,47,152.7,6.8,5.6,7,144,6.8,5.3,7,162.8,6.8,5.9,7,145.5,7.3,5.4,201,FAIL,,,61,TO,,3031.6,0,TO,,3031.6,0
ccidral/tomighty,5.8,13.8,2.4,0,94.1,5.6,17.1,21,94.6,5.6,17.2,21,94,5.6,17.1,2,94.7,5.5,17.2,2,97.5,5.6,17.7,2,95.1,5.7,17.3,64,FAIL,,,22,TO,,14896.6,0,TO,,14896.6,0
neo4j/license-maven-plugin,6.1,14.7,2.4,2,282.4,20.9,50,5,279.6,20.7,49.5,5,275.1,20.5,48.7,4,275.9,20.8,48.9,4,1137.6,21.5,191,4,269.6,20.5,47.8,38,FAIL,,,1,FAIL,,,,TO,,14163.9,0
timroes/aXMLRPC,4.7,13.4,2.9,5,231.5,18.2,53.1,28,223.9,16.6,51.2,21,222.1,17.3,50.9,15,246.2,15.8,55.7,15,584.4,17.3,128,14,261.7,16.4,59.2,1151,FAIL,,,0,FAIL,,,0,TO,,18383.0,0
yangfuhai/jboot,6.6,21.2,3.2,1,482.5,24.8,77.2,3,486.6,25.8,78,3,508.7,25.6,81.3,3,503,25.1,80.4,3,496.7,25.1,79.4,3,488.4,26.9,78.4,472,FAIL,,,0,FAIL,,,0,TO,,13090.9,0
monkeymq/jgossip,3.7,14.1,3.9,2,26.7,0.2,7.4,4,26.9,0.3,7.4,4,27.1,0.2,7.5,4,26.8,0.2,7.4,4,27.5,0.2,7.6,4,26.7,0.2,7.4,2,26.8,0.2,7.4,4,FAIL,,,,TO,,23351.4,0
audit4j/audit4j-db,9.3,20.8,2.2,0,568.4,44.8,66,22,571.2,45.3,66.4,24,585.5,45.7,67.9,7,590.6,46.6,68.6,7,640.4,47.6,74,2,615.1,56.7,72.3,646,TO,,9290.3,0,FAIL,,,,TO,,9290.3,0
castagna/SARQ,11.2,15.2,1.4,0,818,65.8,79.1,11,816.1,65.6,78.9,11,816.6,65,78.9,8,815,64.8,78.8,8,871.1,65.5,83.9,8,819.8,66.9,79.4,0,TO,,7714.3,9,FAIL,,,,TO,,7714.3,0
amzn/amazon-instant-access-sdk-java,7.5,13.5,1.8,6,399.3,28.7,57.4,31,402.8,28.4,57.8,24,397.4,28.5,57.1,15,398,28.2,57.1,15,401.8,28.7,57.7,15,397.6,31.6,57.5,275,832.3,30.7,115.7,0,TO,,11520.0,0,FAIL,,,
uniform-java/uniform,5.1,12.1,2.4,0,376.4,31.5,80.1,2,375.3,31.9,80,2,375.9,31.9,80.1,1,376.2,31.6,80.1,1,378.8,31.9,80.7,1,372.9,31.8,79.5,9,1720.2,31.9,344.2,2,FAIL,,,,TO,,16941.2,0
softlayer/softlayer-java,7.4,13,1.8,2,164.3,11.8,23.7,2,168.7,12.1,24.4,1,168.3,12.5,24.4,2,171.8,12.2,24.8,2,173.2,11.7,24.9,1,163.9,12.2,23.7,34,349.6,11.8,48.7,6,FAIL,,,,TO,,11675.7,0
tinkerpop/furnace,1.2,10.1,8.4,1,53.6,4.6,48.5,1,50.9,4.2,45.9,1,47.7,4.2,43.2,1,45.8,4.2,41.7,1,84.9,4.3,74.3,1,46.4,3.7,41.7,16,683.9,2.7,572.2,1,FAIL,,,,TO,,72000.0,0
magdel/MapNav,10.8,70.8,6.5,0,1129.8,91.7,112.7,4,1151.6,90.5,114.6,2,1147.8,92.6,114.4,1,1151.9,89.9,114.6,1,FAIL,,,,1143.8,91.7,114,38,1160.1,92.2,115.5,2,1313.5,91.2,129.6,4,TO,,8000.0,0
soulgalore/jdbcmetrics,2.5,8.6,3.5,5,348.2,29.1,154,5,350.4,29.2,154.9,1,352.3,28.8,155.6,2,348.1,29.2,154,1,365.1,29.3,161,2,352.9,30,156.3,7,880.8,29.6,371.6,6,FAIL,,,,TO,,34560.0,0
square/javawriter,11.7,29.5,2.5,0,1874.3,110,169.6,1,1855.6,111.3,168.1,1,1842.5,111.5,167,1,1851.1,111,167.7,1,2010.3,111.3,181.3,1,1853.8,109.1,167.8,0,TO,,7384.6,0,FAIL,,,,TO,,7384.6,0
mdewilde/podcast-parser,8.1,74.8,9.2,2,2412.2,389.7,344.6,23,2326.1,392.6,334.4,23,2252.1,310.1,315.2,22,2277.8,312.8,318.6,22,2291.9,249.2,312.6,9,2411.8,251.9,327.6,0,TO,,10666.7,23,FAIL,,,,TO,,10666.7,0
salyh/javamail-mock2,2.6,11.7,4.5,0,54.7,5.7,23.5,9,54.9,5.6,23.5,6,55,5.6,23.6,6,54.7,5.5,23.5,6,55.2,5.6,23.7,7,55.6,5.7,23.9,20,108.2,5.5,44.2,12,178.8,5.6,71.8,9,FAIL,,,
jboss/jboss-jstl-api_spec,4.1,13.2,3.2,0,683.8,48.4,179.5,4,675.8,48.3,177.5,4,702.6,48.8,184.2,4,678.4,48.1,178.1,4,686.2,48.6,180.1,4,684,48.5,179.5,4,1970.6,48.2,494.8,4,FAIL,,,,TO,,21073.2,0
pebbleblog/pebble,9.5,25.4,2.7,3,522.3,37.1,58.9,24,520.7,38.1,58.8,8,547.5,38.1,61.6,6,544.9,38.2,61.4,6,566.6,39.4,63.8,6,539.5,38.2,60.8,37,FAIL,,,0,FAIL,,,,TO,,9094.7,0
binance/binance-futures-connector-java,4.3,39.4,9.2,0,719.4,104.9,193,331,705.6,54.4,178,211,734.3,71.1,188.6,53,730.5,71.8,187.9,53,TO,,20093.0,0,754.4,48.1,187.9,343,FAIL,,,13,TO,,20093.0,0,TO,,20093.0,0
opencharles/charles-rest,32.1,36.8,1.1,1,724.4,138.5,26.9,4,693.7,139.4,26,4,720.4,138.8,26.8,1,709.5,139.2,26.5,1,TO,,2691.6,0,799.4,140.3,29.3,100,FAIL,,,4,FAIL,,,0,TO,,2691.6,0
