repo,alg,base_rt,base_mem,rt1,pp1,mem1,races1,rt2,pp2,mem2,races2,rt3,pp3,mem3,races3
dubasdey/portable-ftp-server,shbepoch,3.08,258962.67,9.36,0.30,688584.00,2,7.99,0.25,667180.00,2,8.42,0.46,641869.33,2
dubasdey/portable-ftp-server,syncp,2.80,264220.00,360.46,2.05,12907358.67,0,152.46,0.20,12453409.33,0,359.49,0.34,13347186.67,0
dubasdey/portable-ftp-server,wcp,4.25,259996.00,6.54,0.28,648977.33,2,9.18,0.25,691145.33,2,22.90,0.45,697188.00,2
dyorgio/cpu-watcher,fhb,92.44,565669.33,,,,5,328.12,42.09,8043025.33,0,759.56,190.33,12338300.00,0
dyorgio/cpu-watcher,goldilocks,92.53,570824.00,711.99,50.63,1970109.33,4,1728.90,51.57,1890488.00,4,589.39,27.09,2787856.00,4
dyorgio/cpu-watcher,hb,92.72,596708.00,,,,4,187.44,21.21,1155774.67,0,567.60,57.17,1305424.00,0
dyorgio/cpu-watcher,hbepoch,92.67,567458.67,,,,4,,,,4,277.61,27.43,699057.33,4
dyorgio/cpu-watcher,lockset,93.17,583134.67,,,,13,380.84,55.20,4655066.00,13,601.82,151.28,8928088.00,13
dyorgio/cpu-watcher,shb,92.22,577534.67,248.00,47.86,1874506.67,3,461.58,109.16,2750504.00,4,237.71,34.81,724276.00,3
dyorgio/cpu-watcher,shbepoch,92.53,584145.33,282.77,53.86,1790978.00,4,,,,3,329.64,41.26,1581780.00,0
dyorgio/cpu-watcher,wcp,94.16,562237.33,,,,0,,,,0,,,,0
hackingwu/Java-Promise,fhb,7.86,255198.67,12.29,0.23,378772.00,2,10.03,0.21,389876.00,2,10.38,0.61,390492.00,2
hackingwu/Java-Promise,goldilocks,6.01,263445.33,13.35,0.46,391692.00,6,12.02,0.28,393941.33,6,13.94,0.53,394465.33,6
hackingwu/Java-Promise,hb,5.64,258649.33,16.41,0.60,382765.33,6,11.81,0.29,405820.00,6,9.63,0.23,397582.67,6
hackingwu/Java-Promise,hbepoch,6.58,261856.00,16.25,0.38,394901.33,6,11.60,0.52,391380.00,6,10.86,0.75,400560.00,6
hackingwu/Java-Promise,lockset,6.06,262304.00,13.27,0.49,389525.33,11,11.86,0.32,399238.67,11,14.99,0.36,383410.67,11
hackingwu/Java-Promise,shb,5.99,219136.00,14.90,0.57,361221.33,2,10.09,0.21,366609.33,2,9.39,0.31,369680.00,3
hackingwu/Java-Promise,shbepoch,6.60,245437.33,14.43,0.24,382937.33,2,10.33,0.23,374812.00,2,9.59,0.31,359326.67,2
hackingwu/Java-Promise,syncp,8.03,234469.33,10.22,0.21,655386.67,1,10.51,0.25,692448.00,1,12.56,0.46,642501.33,1
hackingwu/Java-Promise,wcp,8.10,240489.33,9.32,0.26,368677.33,11,10.98,0.30,382800.00,11,12.23,0.96,372306.67,11
ihaolin/wechat,fhb,3.76,263313.33,9.73,0.38,530878.67,2,10.57,0.29,546633.33,2,10.67,0.35,541190.67,2
ihaolin/wechat,goldilocks,4.23,280710.67,15.64,0.75,547869.33,10,10.07,0.29,535681.33,10,11.49,0.47,533816.00,10
ihaolin/wechat,hb,3.81,255846.67,9.93,0.34,514094.67,15,9.92,0.30,538612.00,15,8.68,0.33,536174.67,15
ihaolin/wechat,hbepoch,3.70,257780.00,9.73,0.53,508809.33,10,7.99,0.23,539006.67,10,11.45,0.44,541452.00,10
ihaolin/wechat,lockset,3.80,264376.00,10.20,0.69,538409.33,17,10.15,0.30,542054.67,17,10.59,0.38,538026.67,17
ihaolin/wechat,shb,3.66,259077.33,9.86,0.46,511024.00,2,8.95,0.23,549357.33,2,11.41,0.78,537142.67,2
ihaolin/wechat,shbepoch,3.85,255050.67,9.73,0.54,512730.67,2,10.83,0.28,536696.00,2,14.63,0.60,530478.67,2
ihaolin/wechat,syncp,4.14,265418.67,16.36,0.83,797597.33,2,10.31,0.21,791466.67,2,12.33,0.34,794653.33,2
ihaolin/wechat,wcp,3.72,264450.67,9.97,0.31,548200.00,15,7.62,0.22,552638.67,15,10.97,1.06,560042.67,15
j-easy/easy-flows,fhb,8.09,294212.00,102.34,8.29,4724609.33,1,82.21,4.04,5729252.00,1,74.58,9.37,5022940.00,1
j-easy/easy-flows,goldilocks,6.93,311141.33,107.72,4.40,5300604.00,1,112.69,3.96,6004890.67,1,103.31,4.94,6109694.67,1
j-easy/easy-flows,hb,9.71,282154.67,69.83,4.84,3772177.33,1,80.82,4.27,3681965.33,1,47.80,3.00,4689134.67,1
j-easy/easy-flows,hbepoch,8.74,271673.33,74.32,5.75,3632570.00,1,59.59,3.06,3804214.67,1,71.95,5.00,2099462.67,1
j-easy/easy-flows,lockset,8.44,293228.00,41.16,2.93,3968321.33,1,79.29,4.30,2830273.33,1,83.87,4.66,3287070.67,1
j-easy/easy-flows,shb,7.86,287608.00,41.52,2.85,4966774.67,1,74.29,6.58,4272789.33,1,72.55,4.97,3749322.67,1
j-easy/easy-flows,shbepoch,7.72,271985.33,81.20,8.19,3645978.67,1,70.71,7.31,1290376.00,1,69.98,4.92,1259724.00,1
j-easy/easy-flows,wcp,5.08,304968.00,230.61,4.73,31111186.67,1,154.15,3.93,32491344.00,1,194.96,4.90,29832373.33,1
jalpedersen/jetty-hazelcast,fhb,3.54,269312.00,,,,9,187.64,11.73,9586250.67,9,93.32,6.94,7917752.00,9
jalpedersen/jetty-hazelcast,goldilocks,5.29,247116.00,1875.16,17.59,5861474.67,58,928.33,13.56,16227392.00,31,703.31,12.06,14254464.00,28
jalpedersen/jetty-hazelcast,hb,14.28,271820.00,149.02,12.14,5187488.00,49,243.71,32.47,3845053.33,49,85.60,6.27,5321593.33,49
